source_project_id,project_name,canonical_project_id,mapping_status,country,lifecycle_stage,expected_operational_year,industry,capacity_basis,capture_capacity_mtpa,source_vintage,source_url
gccsi-2025-construction-001,New Generation Gas Gathering (NG3),,unmatched,United States,construction,2025,Natural Gas / LNG,capture_capacity,1.2,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-002,Imperial Oil Strathcona Refinery,,unmatched,Canada,construction,2025,Hydrogen / Ammonia / Fertiliser,capture_capacity,0.5,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-003,Green Plains Central City BioRefinery,,unmatched,United States,construction,2025,Ethanol / Biomass Fermentation,capture_capacity,0.33,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-004,Green Plains Wood River BioRefinery,,unmatched,United States,construction,2025,Ethanol / Biomass Fermentation,capture_capacity,0.35,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-005,Green Plains York Biorefinery,,unmatched,United States,construction,2025,Ethanol / Biomass Fermentation,capture_capacity,0.14,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-006,44.01 Project Hajar,,unmatched,Oman,construction,2025,Direct Air Capture,capture_capacity,0.001,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-007,Baotou Steel Phase 1,,unmatched,China,construction,2025,Iron and Steel,capture_capacity,0.5,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-008,China Resources Hainan Changjiang Cement,,unmatched,China,construction,2025,Cement and Concrete,capture_capacity,0.06,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-009,CNPC Huabei Oil Field,,unmatched,China,construction,2025,Chemical,capture_capacity,0.2,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-010,Huaneng Longdong Energy Base,,unmatched,China,construction,2025,Coal Power Generation and Heat,capture_capacity,1.5,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-011,Qatar Petroleum North Field East,,unmatched,Qatar,construction,2025,Natural Gas / LNG,capture_capacity,2.1,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-012,STRATOS (1PointFive Direct Air Capture),us-stratos,matched,United States,construction,2025,Direct Air Capture,capture_capacity,0.5,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-013,Trailblazer Pipeline,,unmatched,United States,construction,2025,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-014,Fluxys c-grid Antwerp Pipeline,,unmatched,Belgium,construction,2026,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-015,Linde Beaumont Hydrogen Plant,,unmatched,United States,construction,2026,Hydrogen / Ammonia / Fertiliser,capture_capacity,2.2,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-016,Orsted Asnaes CHP Plant,,unmatched,Denmark,construction,2026,Bioenergy Power Generation and Heat,capture_capacity,0.28,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-017,Orsted Avedore CHP Plant,,unmatched,Denmark,construction,2026,Bioenergy Power Generation and Heat,capture_capacity,0.15,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-018,Yara Sluiskil,,unmatched,Netherlands,construction,2026,Hydrogen / Ammonia / Fertiliser,capture_capacity,0.8,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-019,Air Liquide Rotterdam,,unmatched,Netherlands,construction,2026,Hydrogen / Ammonia / Fertiliser,capture_capacity,0.5,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-020,Shell Pernis Refinery Rotterdam,,unmatched,Netherlands,construction,2026,Oil Extraction / Refining,capture_capacity,1.15,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-021,ADNOC Habshan,,unmatched,United Arab Emirates,construction,2026,Natural Gas / LNG,capture_capacity,1.5,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-022,CNPC Xinjiang Karamay Coal-Fired Power Plant Integrated,,unmatched,China,construction,2026,Coal Power Generation and Heat,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-023,BKV Cotton Cove CCS,,unmatched,United States,construction,2026,Natural Gas / LNG,capture_capacity,0.05,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-024,Entropy Glacier Gas Plant Phase 2,,unmatched,Canada,construction,2026,Natural Gas Power Generation and Heat,capture_capacity,0.16,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-025,Petronas Kasawari,my-kasawari,matched,Malaysia,construction,2026,Natural Gas / LNG,capture_capacity,3.7,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-026,QAFCO Ammonia-7 Blue Ammonia,,unmatched,Qatar,construction,2026,Hydrogen / Ammonia / Fertiliser,capture_capacity,1.5,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-027,Porthos CO₂ Transport and Storage,,unmatched,Netherlands,construction,2026,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-028,Project Greensand,,unmatched,Denmark,construction,2026,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-029,BKV Freer,,unmatched,United States,construction,2026,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-030,CapturePoint Solutions Central Louisiana Regional Carbon,,unmatched,United States,construction,2027,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-031,Air Products Rotterdam,,unmatched,Netherlands,construction,2027,Hydrogen / Ammonia / Fertiliser,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
