source_project_id,project_name,country,candidate_project_ids,mapping_status,review_note
gccsi-2025-construction-001,New Generation Gas Gathering (NG3),United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-002,Imperial Oil Strathcona Refinery,Canada,,unmatched,Name review required; do not guess
gccsi-2025-construction-003,Green Plains Central City BioRefinery,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-004,Green Plains Wood River BioRefinery,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-005,Green Plains York Biorefinery,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-006,44.01 Project Hajar,Oman,,unmatched,Name review required; do not guess
gccsi-2025-construction-007,Baotou Steel Phase 1,China,,unmatched,Name review required; do not guess
gccsi-2025-construction-008,China Resources Hainan Changjiang Cement,China,,unmatched,Name review required; do not guess
gccsi-2025-construction-009,CNPC Huabei Oil Field,China,,unmatched,Name review required; do not guess
gccsi-2025-construction-010,Huaneng Longdong Energy Base,China,,unmatched,Name review required; do not guess
gccsi-2025-construction-011,Qatar Petroleum North Field East,Qatar,,unmatched,Name review required; do not guess
gccsi-2025-construction-013,Trailblazer Pipeline,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-014,Fluxys c-grid Antwerp Pipeline,Belgium,,unmatched,Name review required; do not guess
gccsi-2025-construction-015,Linde Beaumont Hydrogen Plant,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-016,Orsted Asnaes CHP Plant,Denmark,,unmatched,Name review required; do not guess
gccsi-2025-construction-017,Orsted Avedore CHP Plant,Denmark,,unmatched,Name review required; do not guess
gccsi-2025-construction-018,Yara Sluiskil,Netherlands,,unmatched,Name review required; do not guess
gccsi-2025-construction-019,Air Liquide Rotterdam,Netherlands,,unmatched,Name review required; do not guess
gccsi-2025-construction-020,Shell Pernis Refinery Rotterdam,Netherlands,,unmatched,Name review required; do not guess
gccsi-2025-construction-021,ADNOC Habshan,United Arab Emirates,,unmatched,Name review required; do not guess
gccsi-2025-construction-022,CNPC Xinjiang Karamay Coal-Fired Power Plant Integrated,China,,unmatched,Name review required; do not guess
gccsi-2025-construction-023,BKV Cotton Cove CCS,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-024,Entropy Glacier Gas Plant Phase 2,Canada,,unmatched,Name review required; do not guess
gccsi-2025-construction-026,QAFCO Ammonia-7 Blue Ammonia,Qatar,,unmatched,Name review required; do not guess
gccsi-2025-construction-027,Porthos CO₂ Transport and Storage,Netherlands,,unmatched,Name review required; do not guess
gccsi-2025-construction-028,Project Greensand,Denmark,,unmatched,Name review required; do not guess
gccsi-2025-construction-029,BKV Freer,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-030,CapturePoint Solutions Central Louisiana Regional Carbon,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-031,Air Products Rotterdam,Netherlands,,unmatched,Name review required; do not guess
gccsi-2025-construction-035,Shell Atlas Carbon Storage Hub,Canada,,unmatched,Name review required; do not guess
gccsi-2025-construction-036,Air Products Blue But Better,Canada,,unmatched,Name review required; do not guess
gccsi-2025-construction-037,Dow Fort Saskatchewan ethylene CCS,Canada,,unmatched,Name review required; do not guess
gccsi-2025-construction-038,NZT Power,United Kingdom,,unmatched,Name review required; do not guess
gccsi-2025-construction-040,Shell Polaris (Scotford Complex),Canada,,unmatched,Name review required; do not guess
gccsi-2025-construction-041,ADNOC Hail & Ghasha Concession Fields,United Arab Emirates,,unmatched,Name review required; do not guess
gccsi-2025-construction-042,Air Products Louisiana Clean Energy Complex,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-044,CF Industries Blue Point,United States,,unmatched,Name review required; do not guess
gccsi-2025-construction-045,Hafslund Oslo Celsio Waste-to-Energy Plant,Norway,,unmatched,Name review required; do not guess
gccsi-2025-construction-046,CNPC Jilin Pipeline,China,,unmatched,Name review required; do not guess
gccsi-2025-construction-047,Yulin Integrated Coal Liquefication,China,,unmatched,Name review required; do not guess
