source_project_id,project_name,country,region,project_partners,project_type,lifecycle_stage,source_status,project_phase,sector,subsector,capacity_basis,capacity_mtpa,announced_capacity_mtpa,cdr_capacity_mtpa,announcement_year,fid_year,announced_start_year,suspension_or_cancellation_year,co2_destination,parent_hub,reference_urls,source_vintage,source_url,source_form,canonical_project_id,mapping_status
iea-2026-0001,3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,Europe,"ArcelorMittal, IFP (project lead), Axens, Uetikon, Grassco, brevik, TotalEnergies (T&S)",Capture,cancelled,Cancelled,2,Industry,Iron and steel,capture_capacity,0.7,0.7,,2019,,2025,2024,Unknown/unspecified,,https://automotive.arcelormittal.com/news_and_stories/news/2019DMXproject|https://3d-ccus.com/3d-overview/|https://eurometal.net/arcelormittal-suspends-major-decarbonisation-project-in-france/|https://www.lemonde.fr/economie/article/2025/09/24/a-dunkerque-arcelormittal-renonce-a-son-projet-de-four-a-chaux-decarbone_6642752_3234.html,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0003,8Rivers H2 (8RH2) (WY),United States,North America,"8Rivers, Wyoming Energy Authority",Capture,concept,Planned,,Fuel transformation,Hydrogen or ammonia,capture_capacity,,,,2022,,,,Dedicated storage,,https://8rivers.com/portfolio/8-rivers-hydrogen/#,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0004,Emirates Steel Industries,United Arab Emirates,Middle East,"ADNOC, Masdar",Full chain,operating,Operational,,Industry,Iron and steel,capture_capacity,0.8,0.8,,2007,2012,2016,,EOR,,https://hgeo.energy.gov/archives/cslf/Projects/AlReyadah.html|https://www.emsteel.com/wp-content/uploads/2025/05/emsteel-investor-presentation-may-2025.pdf,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0005,Habshan-Bab gas plant,United Arab Emirates,Middle East,"ADNOC, Petrofac (EPC), Levidian",Full chain,construction,Under construction,,Fuel transformation,Natural gas processing/LNG,capture_capacity,1.5,1.5,,2020,2023,2026,,EOR,,https://adnoc.ae/en/news-and-media/press-releases/2020/adnoc-to-build-on-its-position-as-one-of-the-least-carbon-intensive-oil-and-gas-producers|https://www.petrofac.com/media/news/adnoc-gas-awards-petrofac-contract-for-landmark-carbon-capture-utilisation-and-storage-project/|https://www.adnoc.ae/en/News-and-Media/Press-Releases/2023/ADNOC-to-Invest-in-One-of-the-Largest-Integrated-Carbon-Capture-Projects-in-MENA,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0006,Shah gas plant (Abu Dhabi CCS Phase 2),United Arab Emirates,Middle East,ADNOC,Full chain,concept,Planned,2,Fuel transformation,Natural gas processing/LNG,capture_capacity,2.3,2.3,,2020,,2030,,EOR,,https://adnoc.ae/en/news-and-media/press-releases/2020/adnoc-to-build-on-its-position-as-one-of-the-least-carbon-intensive-oil-and-gas-producers,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0007,Acorn CCS phase 1-Capture at St Fergus,United Kingdom,Europe,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",Capture,concept,Planned,1,Fuel transformation,Natural gas processing/LNG,capture_capacity,0.3,0.3,,2016,,,,Dedicated storage,Acorn CCS,https://www.upstreamonline.com/energy-transition/five-proposed-uk-carbon-capture-projects-meet-governments-eligibility-test/2-1-1047222|https://www.offshore-energy.biz/carbon-clean-to-carry-out-feed-on-acorn-carbon-capture-plant/|https://www.backthescottishcluster.co.uk/the-scottish-cluster-supply-chain|https://www.storegga.earth/news/2021/news/acorn-project-partners-storegga-shell-u-k-and-harbour-energy-sign-mou-with-the-owners-of-the-segal-and-fuka-gas-terminals-at-st-fergus/|https://www.scottishconstructionnow.com/articles/acorn-project-partners-select-carbon-clean-to-deliver-st-fergus-carbon-capture-plant-feed-study|https://www.energyvoice.com/oilandgas/north-sea/370332/st-fergus-terminal-owner-joins-acorn-ccs-project-as-partner,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0008,Acorn CCS phase 1-T&S,United Kingdom,Europe,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,concept,Planned,1,CO2 T&S,CO2 T&S,storage_injection_capacity,0.8,0.3,,2016,,2028,,Dedicated storage,Acorn CCS,https://www.upstreamonline.com/energy-transition/five-proposed-uk-carbon-capture-projects-meet-governments-eligibility-test/2-1-1047222|https://www.offshore-energy.biz/carbon-clean-to-carry-out-feed-on-acorn-carbon-capture-plant/|https://www.backthescottishcluster.co.uk/the-scottish-cluster-supply-chain|https://www.storegga.earth/news/2021/news/acorn-project-partners-storegga-shell-u-k-and-harbour-energy-sign-mou-with-the-owners-of-the-segal-and-fuka-gas-terminals-at-st-fergus/|https://www.scottishconstructionnow.com/articles/acorn-project-partners-select-carbon-clean-to-deliver-st-fergus-carbon-capture-plant-feed-study|https://www.energyvoice.com/oilandgas/north-sea/370332/st-fergus-terminal-owner-joins-acorn-ccs-project-as-partner,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0009,Acorn CCS phase 2,United Kingdom,Europe,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,concept,Planned,2,CO2 T&S,CO2 T&S,storage_injection_capacity,5.0,5.0,,2017,,,,Dedicated storage,Acorn CCS,https://www.upstreamonline.com/energy-transition/five-proposed-uk-carbon-capture-projects-meet-governments-eligibility-test/2-1-1047222|https://www.offshore-energy.biz/carbon-clean-to-carry-out-feed-on-acorn-carbon-capture-plant/|https://www.backthescottishcluster.co.uk/the-scottish-cluster-supply-chain|https://www.storegga.earth/news/2021/news/acorn-project-partners-storegga-shell-u-k-and-harbour-energy-sign-mou-with-the-owners-of-the-segal-and-fuka-gas-terminals-at-st-fergus/|https://www.scottishconstructionnow.com/articles/acorn-project-partners-select-carbon-clean-to-deliver-st-fergus-carbon-capture-plant-feed-study|https://www.energyvoice.com/oilandgas/north-sea/370332/st-fergus-terminal-owner-joins-acorn-ccs-project-as-partner|https://www.theacornproject.uk/news-and-events/nsta-grants-carbon-storage-licences-to-acorn,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0010,Acorn H2,United Kingdom,Europe,"Storegga, Chrysaor",Capture,concept,Planned,,Fuel transformation,Hydrogen or ammonia,capture_capacity,0.4,0.4,,2018,,,,Dedicated storage,Acorn CCS,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/866380/Phase_1_-_Pale_Blue_Dot_Energy_-_Acorn_Hydrogen.pdf,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0011,Adbri Project,Australia,Australia and New Zealand,"Leilac, Adbri, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",Capture,cancelled,Cancelled,,Industry,Lime,capture_capacity,,,,2021,,,2022,Dedicated storage,South West Hub Project,https://calix.global/co2-mitigation-focus-area/awarded-11m-in-government-funding-for-low-emissions-lime-project-with-adbri/|https://www.leilac.com/project-adbri/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
